عنوان,مساحت,ودیعه,اجاره,موقعیت
نشان دیوار,100,,,جیحون
۱۰۰ متر ۳ طبقه /خ آزادی جنب مترو توحید /پارکینگ,250,,,استاد معین
خانه ویلایی ۲۵۰ متر,100,,,بستی
100 متری /در بستی/,100,,,بست خانه
واحد دربست خانه 100متری دو طبقه  جیحون سپه,70,,,جیحون
اجاره خانه ویلایی ۴۰ متری ۲ خوابه در استاد معین,12,,,سلسبیل
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,120,,,آذربایجان
۱۲۰متر چهار خواب خوش نرسیده به طوس,100,,,نواب
۱۰۰ متر/کلنگی/سینا غربی/مترو کمیل/,150,,,هفت چنار
150 متر فول بازسازی کمیل شیرازی,150,,,بستی در
۱۵۰ متر واحد دربستی در ۲ طبقه کاملا مجزا . با حیاط,300,,,نزدیک مترو شادمان
ویلایی ۳۰۰ متری ۵ خوابه در نزدیک مترو شادمان,50,,,جیحون
۲طبقه دربست ۵۰ متری سرویس کامل مرتضوی جیحون,120,,,بستی دوطبقه بریانک
۱۲۰ متر دربستی دوطبقه بریانک,100,,,باره
